,Price,Year,Mileage,City,State,Vin,Make,Model
338775,45500,2015,11115,Kent, WA,1FTFW1EGXFKE43211,Ford,F-1504WD
338778,11788,2008,172126,Buckeye, AZ,1FTPW14508KD96116,Ford,F-1504WD
338780,35994,2015,36997,San Antonio, TX,1FTEW1EG6FFA89966,Ford,F-1504WD
338784,45580,2016,15749,Reno, NV,1FTEW1EG6GFC51385,Ford,F-1504WD
338786,43980,2016,35950,Cary, NC,1FTEW1EG3GFB61854,Ford,F-1504WD
338787,15800,2009,134323,Texarkana, TX,1FTPW14VX9FA74982,Ford,F-1504WD
338794,44994,2015,9000,Sugar Land, TX,1FTEW1EG2FKD09286,Ford,F-1504WD
338798,43698,2015,33728,Marysville, WA,1FTEW1EG3FFC16897,Ford,F-1504WD
338800,16995,2006,128031,Sneads Ferry, NC,1FTPW14586FA63751,Ford,F-1504WD
338801,24998,2012,57498,Salem, OR,1FTFX1ET9CFB03983,Ford,F-1504WD
338804,19988,2008,66009,Littleton, NH,1FTPW14598FB91595,Ford,F-1504WD
338806,43495,2015,15632,Fontana, CA,1FTEW1EG5FKD28415,Ford,F-1504WD
338807,41988,2015,36195,Torrance, CA,1FTEW1EG7FFA25273,Ford,F-1504WD
338808,16995,2006,128111,San Diego, CA,1FTPW14526FB03046,Ford,F-1504WD
338812,42800,2016,36026,Gainesville, GA,1FTEW1EG5GFC00461,Ford,F-1504WD
338817,31870,2014,52460,Seffner, FL,1FTFW1ET6EFA61102,Ford,F-1504WD
338822,21500,2010,94666,Rapid City, SD,1FTFW1EV0AFB71980,Ford,F-1504WD
338823,15999,2008,157479,Sacramento, CA,1FTPW14V78FC26652,Ford,F-1504WD
338827,44800,2015,9543,Draper, UT,1FTEW1EG9FKD17997,Ford,F-1504WD
338832,32995,2015,57495,Missoula, MT,1FTEW1EFXFFB16836,Ford,F-1504WD
338841,44288,2016,24854,Bradenton, FL,1FTFW1EF8GFA61423,Ford,F-1504WD
338845,23900,2010,46310,Southern Pines, NC,1FTFW1EV3AFD22293,Ford,F-1504WD
338849,32998,2014,42110,Columbia, PA,1FTFW1ET7EKE28175,Ford,F-1504WD
338850,29899,2016,28558,Boone, NC,1FTEX1EP1GFA77237,Ford,F-1504WD
338858,45777,2016,2763,Lawrence, KS,1FTEW1EG2GKD54908,Ford,F-1504WD
338861,34849,2011,95687,Raynham, MA,1FTFW1R62BFC98850,Ford,F-1504WD
338864,35995,2015,21618,North Riverside, IL,1FTEX1EP0FFC20242,Ford,F-1504WD
338867,42991,2015,22268,Fort Worth, TX,1FTFW1EF4FFC79907,Ford,F-1504WD
338870,44995,2016,16587,Billings, MT,1FTEW1EGXGKE82538,Ford,F-1504WD
338873,42333,2015,30234,Sandy, UT,1FTEW1EG8FKE25379,Ford,F-1504WD
338877,29975,2012,65570,Boyertown, PA,1FTFW1EF6CFA46722,Ford,F-1504WD
338881,17990,2005,64987,Ansonia, CT,1FTPX14545NB04510,Ford,F-1504WD
338882,9999,2002,178647,Spokane, WA,1FTRW08L02KC22484,Ford,F-1504WD
338885,41975,2015,44517,Burlington, KS,1FTEW1EG9FFB90886,Ford,F-1504WD
338887,45980,2016,28,Springfield, PA,1FTEX1EF4GKF38333,Ford,F-1504WD
338888,19790,2010,164191,Americus, GA,1FTFW1EV5AFC43661,Ford,F-1504WD
338890,44998,2015,14620,Louisville, KY,1FTEW1EGXFFC06092,Ford,F-1504WD
338892,45980,2016,46,Springfield, PA,1FTFX1EF4GFD30076,Ford,F-1504WD
338896,30199,2016,26288,Colorado Springs, CO,1FTEW1E80GKE76773,Ford,F-1504WD
338904,27990,2014,31938,Columbus, MS,1FTFX1EF1EKF89693,Ford,F-1504WD
338909,23523,2010,41555,Rochester, NY,1FTFW1EV2AFC86743,Ford,F-1504WD
338910,23582,2011,49453,Rochester, NY,1FTFX1ET5BFB67405,Ford,F-1504WD
338913,41797,2015,45507,Milwaukee, WI,1FTEW1EF5FFB09776,Ford,F-1504WD
338914,26777,2011,88802,Greeley, CO,1FTFW1ET3BFC53010,Ford,F-1504WD
338923,42937,2015,38363,Hinesville, GA,1FTEW1EF2FFB24655,Ford,F-1504WD
338929,43499,2015,23575,Tuscaloosa, AL,1FTEW1EGXFFC92147,Ford,F-1504WD
338932,17925,2008,135192,Killeen, TX,1FTPW14VX8KB37875,Ford,F-1504WD
338934,19995,2011,115622,Reno, NV,1FTFW1EF7BFC15449,Ford,F-1504WD
338936,10995,2004,141041,Charleston, SC,1FTPW14594KD18752,Ford,F-1504WD
338938,18695,2007,117340,Independence, MO,1FTPW14V97FA76428,Ford,F-1504WD
338941,44895,2016,8509,Portsmouth, NH,1FTFW1EG3GFD04516,Ford,F-1504WD
338942,42200,2014,40329,Tampa, FL,1FTFW1ET9EFC85691,Ford,F-1504WD
338945,29695,2016,28946,Valdosta, GA,1FTEX1EP8GFC10320,Ford,F-1504WD
338947,43000,2015,22808,San Antonio, TX,1FTEW1EF2FFA38956,Ford,F-1504WD
338948,46694,2016,3410,Colorado Springs, CO,1FTFW1EG5GKE73704,Ford,F-1504WD
338954,14495,2007,128139,Elkhart, IN,1FTPW14VX7FB88509,Ford,F-1504WD
338959,42987,2015,33105,Dunn, NC,1FTEW1EG6FFB94765,Ford,F-1504WD
338966,41999,2015,44924,Bartow, FL,1FTEW1EG2FFA76065,Ford,F-1504WD
338967,18777,2010,99283,Seffner, FL,1FTEW1E89AFD62741,Ford,F-1504WD
338968,42995,2015,32971,Edinburg, TX,1FTEW1EG1FKE28625,Ford,F-1504WD
338970,33982,2014,40207,Knoxville, TN,1FTFW1EF8EFB68727,Ford,F-1504WD
338973,18950,2007,114713,Albuquerque, NM,1FTPW14547KD29498,Ford,F-1504WD
338980,15990,2008,125701,Cape Girardeau, MO,1FTPW14V78FA91401,Ford,F-1504WD
338986,7255,1998,144856,Great Falls, MT,2FTZX1861WCA97163,Ford,F-1504WD
338989,44898,2016,18852,Carlsbad, NM,1FTEW1EF1GKD11068,Ford,F-1504WD
338990,38365,2015,79108,McAllen, TX,1FTEW1EF5FFB32846,Ford,F-1504WD
338991,36991,2014,87068,Colorado Springs, CO,1FTFW1R65EFA14552,Ford,F-1504WD
338994,45779,2016,11196,East Greenwich, RI,1FTEW1EG5GFA27427,Ford,F-1504WD
339000,42968,2015,33200,Draper, UT,1FTEW1EG6FKD42579,Ford,F-1504WD
339001,18500,2010,102985,Moscow, ID,1FTFW1EV5AFB58058,Ford,F-1504WD
339002,34217,2014,31814,Houston, TX,1FTFW1ET8EFA55575,Ford,F-1504WD
339013,44252,2015,20009,Marietta, GA,1FTEW1EF0FKD74502,Ford,F-1504WD
339015,44789,2015,22689,Marysville, WA,1FTEW1EF3FFC24425,Ford,F-1504WD
339018,43916,2016,28184,Fort Worth, TX,1FTFW1EF0GFA47838,Ford,F-1504WD
339019,43000,2015,35406,Marietta, GA,1FTEW1EG1FFC68996,Ford,F-1504WD
339024,24973,2011,77113,Wilmington, NC,1FTFX1EF3BFA32806,Ford,F-1504WD
339029,44500,2016,18050,Sunrise, FL,1FTEW1EG3GFB75463,Ford,F-1504WD
339033,33925,2014,29739,Hooksett, NH,1FTFW1EF8EKE51040,Ford,F-1504WD
339035,44990,2016,16423,Rochester, NY,1FTEW1EF5GFB79781,Ford,F-1504WD
339037,44897,2016,19336,Jacksonville, AR,1FTEW1EP2GKE08739,Ford,F-1504WD
339044,43369,2015,27152,Adamsburg, PA,1FTEW1EG9FFA69226,Ford,F-1504WD
339046,39000,2016,2900,Plainfield, IN,1FTFX1EF9GFC06532,Ford,F-1504WD
339048,41886,2015,47842,Arlington, TX,1FTEW1EG4FFB82212,Ford,F-1504WD
339050,21593,2012,93218,Liberty, NY,1FTFW1EF2CFA75165,Ford,F-1504WD
339051,41612,2015,56856,Conroe, TX,1FTEW1EG2FFB30657,Ford,F-1504WD
339052,42995,2015,33795,Wall, NJ,1FTEW1EF4FFC06158,Ford,F-1504WD
339056,44780,2015,12345,Canton, NC,1FTEW1EG2FFB19352,Ford,F-1504WD
339058,45000,2016,18311,Bridgewater, NJ,1FTFW1EGXGFC62653,Ford,F-1504WD
339059,26981,2014,40568,Fayetteville, NC,1FTEX1EM7EFC71483,Ford,F-1504WD
339060,12980,2005,127028,Hendersonville, NC,1FTPX14535NA27225,Ford,F-1504WD
339061,35995,2015,118186,Henderson, KY,1FTEW1EF8FFA90463,Ford,F-1504WD
339067,43288,2015,30412,Midland, TX,1FTEW1EF1FFB97578,Ford,F-1504WD
339071,45520,2016,8220,Peotone, IL,1FTEW1EF0GKF02321,Ford,F-1504WD
339074,39499,2014,71683,Redford, MI,1FTFW1R67EFB28360,Ford,F-1504WD
339075,24900,2011,122807,Pocatello, ID,1FTFW1E60BFA20549,Ford,F-1504WD
339080,32996,2014,47101,Tomball, TX,1FTFX1ET9EKD51225,Ford,F-1504WD
339082,43900,2015,24277,Randolph, NJ,1FTEW1EG7FFB05737,Ford,F-1504WD
339083,13888,2004,105750,Jerseyville, IL,1FTRX14W74NC25810,Ford,F-1504WD
339085,45000,2016,18573,Bridgewater, NJ,1FTFW1EG5GFB87005,Ford,F-1504WD
339087,43999,2015,25613,Newark, DE,1FTEW1EG0FFB36991,Ford,F-1504WD
339091,29950,2011,147042,Raleigh, NC,1FTFW1R66BFA72763,Ford,F-1504WD
