,National,Local,Longmont
293924,12982.0,,
293925,13899.0,,
293927,15995.0,,
293934,13982.0,,
293935,25971.0,,
293938,26995.0,,
293939,10433.0,,
293961,14700.0,,
293968,18997.0,,
293969,8990.0,,
293970,11895.0,,
293977,4500.0,,
293979,22999.0,,
293987,12500.0,,
293990,10995.0,,
293992,21995.0,,
294001,26814.0,,
294004,24995.0,,
294009,12256.0,,
294011,7669.0,,
294012,13789.0,,
294016,26000.0,,
294022,15477.0,,
294031,12375.0,,
294035,13890.0,,
294058,11243.0,,
294100,25988.0,,
294101,23262.0,,
294105,28000.0,,
294126,8990.0,,
294131,10998.0,,
294144,8999.0,,
294152,19850.0,,
294188,18985.0,,
294206,17999.0,,
294232,25499.0,,
294236,18624.0,,
294240,17426.0,,
294287,17989.0,,
294288,26999.0,,
294289,20990.0,,
294326,28995.0,,
294335,27763.0,,
294344,9719.0,,
294346,10995.0,,
294377,27492.0,,
294390,12900.0,,
294405,20900.0,,
294415,20777.0,,
294416,25994.0,,
294422,24719.0,,
294427,19855.0,,
294444,28983.0,,
294447,12995.0,,
294451,13995.0,,
294452,15194.0,,
294470,28534.0,,
294482,15584.0,,
294490,7500.0,,
294500,20995.0,,
294511,12900.0,,
294520,24988.0,,
294540,8990.0,,
294558,9995.0,,
294568,14995.0,,
294583,8995.0,,
294584,23995.0,,
294598,6990.0,,
294616,13499.0,,
294619,10995.0,,
294621,18995.0,,
294658,12900.0,,
294671,27250.0,,
294672,14995.0,,
294684,12995.0,,
294699,12987.0,,
294700,14599.0,,
294739,25500.0,,
294756,13290.0,,
294763,17031.0,,
294771,17991.0,,
294780,26793.0,,
294798,17995.0,,
294836,6999.0,,
294847,10572.0,,
294850,17990.0,,
294851,12995.0,,
294853,11995.0,,
294855,27499.0,,
294857,21998.0,,
294860,15990.0,,
294873,27000.0,,
294879,11600.0,,
294880,12997.0,,
294890,17546.0,,
294897,17999.0,,
294914,27545.0,,
294916,24730.0,,
294945,14980.0,,
294963,24888.0,,
294974,28998.0,,
294981,14995.0,,
295007,14977.0,,
295019,23989.0,,
295020,17900.0,,
295030,24000.0,,
295044,17795.0,,
295061,12481.0,,
295068,15999.0,,
295085,12900.0,,
295111,21638.0,,
295116,12947.0,,
295132,21876.0,,
295139,15995.0,,
295172,19911.0,,
295204,7400.0,,
295215,16990.0,,
295216,27559.0,,
295224,17500.0,,
295227,6999.0,,
295228,14900.0,,
295233,10995.0,,
295249,11999.0,,
295257,27516.0,,
295280,8999.0,,
295283,10999.0,,
295291,15995.0,,
295297,19995.0,,
295332,15752.0,,
295335,16588.0,,
295345,26997.0,,
295354,8499.0,,
295365,19900.0,,
295379,19995.0,,
295383,27798.0,,
295387,18000.0,,
295400,19000.0,,
295404,3000.0,,
295417,17740.0,,
295431,10995.0,,
295433,27919.0,,
295442,11800.0,,
295453,19900.0,,
295473,11999.0,,
295489,17895.0,,
295495,15988.0,,
295527,23500.0,,
295559,12995.0,,
295580,15600.0,,
295590,10200.0,,
295601,12000.0,,
295608,26999.0,,
295620,7997.0,,
295627,26900.0,,
295644,28200.0,,
295645,21599.0,,
295654,23977.0,,
295656,23983.0,,
295669,19000.0,,
295677,12595.0,,
295686,26776.0,,
295688,15900.0,,
295712,10373.0,,
295714,18790.0,,
295726,20983.0,,
295729,17862.0,,
295738,11334.0,,
295745,19690.0,,
295747,27999.0,,
295749,11980.0,,
295751,26395.0,,
295753,17995.0,,
295762,28995.0,,
295766,8795.0,,
295774,22995.0,,
295778,14733.0,,
295780,20000.0,,
295794,22993.0,,
295795,27995.0,,
295821,6995.0,,
295822,10999.0,,
295823,12499.0,,
295824,6400.0,,
295830,24693.0,,
295844,14500.0,,
295855,16990.0,,
295865,14999.0,,
295875,28396.0,,
295900,18995.0,,
295909,15995.0,,
295914,18495.0,,
295921,21496.0,,
295924,27988.0,,
295930,20988.0,,
295937,13400.0,,
295941,16057.0,,
295944,12573.0,,
295974,17495.0,,
295990,18035.0,,
295995,22600.0,,
296010,16994.0,,
296037,12999.0,,
296043,10998.0,,
296054,27000.0,,
296084,18525.0,,
296092,25997.0,,
296098,15998.0,,
296104,28590.0,,
296114,6295.0,,
296132,25495.0,,
296143,25985.0,,
296150,25912.0,,
296152,17995.0,,
296159,29000.0,,
296160,4544.0,,
296161,23160.0,,
296168,14697.0,,
296190,24999.0,,
296191,18995.0,,
296212,27000.0,,
296230,21695.0,,
296248,26150.0,,
296252,27998.0,,
296258,12950.0,,
296264,21900.0,,
296284,25788.0,,
296309,19896.0,,
296312,27995.0,,
296322,25555.0,,
296328,20300.0,,
296338,21000.0,,
296363,26399.0,,
296368,26800.0,,
296381,14000.0,,
296405,11477.0,,
296413,9449.0,,
296419,26991.0,,
296427,14977.0,,
296446,6989.0,,
296450,29991.0,,
296461,24499.0,,
296465,26500.0,,
296481,28321.0,,
296484,23995.0,,
296490,17900.0,,
296492,12915.0,,
296514,27500.0,,
296515,18871.0,,
296526,15998.0,,
296527,25538.0,,
296529,26988.0,,
296549,22487.0,,
296552,17995.0,,
296563,13990.0,,
296574,27743.0,,
296576,8495.0,,
296577,17988.0,,
296584,14000.0,,
296587,28195.0,,
296597,12932.0,,
296611,26995.0,,
296633,27980.0,,
296643,18995.0,,
296647,23996.0,,
296665,24995.0,,
296669,18995.0,,
296675,19988.0,,
296677,21196.0,,
296683,16989.0,,
296692,25999.0,,
296703,27998.0,,
296707,24994.0,,
296731,16995.0,,
296751,16995.0,,
296768,24923.0,,
296774,16995.0,,
296786,26791.0,,
296797,18950.0,,
296799,20495.0,,
296804,29991.0,,
296809,17994.0,,
296814,21994.0,,
296843,16295.0,,
296870,9999.0,,
296875,28000.0,,
296876,26789.0,,
296892,24923.0,,
296894,16500.0,,
296934,27500.0,,
296939,24877.0,,
296944,9995.0,,
296951,18971.0,,
296961,23625.0,,
296964,25500.0,,
296967,12900.0,,
296978,18486.0,,
296980,25490.0,,
297016,16900.0,,
297018,13950.0,,
297021,21877.0,,
297032,27947.0,,
297033,23991.0,,
297041,25978.0,,
297049,3495.0,,
297064,16600.0,,
297070,23283.0,,
297075,17499.0,,
297083,26988.0,,
297084,11881.0,,
297090,17995.0,,
297094,15495.0,,
297129,14995.0,,
297132,17493.0,,
297139,13779.0,,
297168,25900.0,,
297180,26995.0,,
297186,26588.0,,
297217,13950.0,,
297251,11995.0,,
297284,28999.0,,
297286,18750.0,,
297289,12220.0,,
297298,11990.0,,
297309,26995.0,,
297311,29181.0,,
297313,18889.0,,
297317,26999.0,,
297323,18000.0,,
297331,19231.0,,
297343,24792.0,,
297351,21115.0,,
297359,16988.0,,
297375,23510.0,,
297385,17995.0,,
297394,24549.0,,
297397,19995.0,,
297398,26995.0,,
297399,13999.0,,
297402,12499.0,,
297403,15000.0,,
297409,25999.0,,
297413,25899.0,,
297416,16900.0,,
297438,20000.0,,
297451,16739.0,,
297457,24000.0,,
297459,18991.0,,
297463,21989.0,,
297464,8997.0,,
297471,10995.0,,
297473,10995.0,,
297481,12101.0,,
297484,21119.0,,
297491,26791.0,,
297492,15800.0,,
297496,18774.0,,
297504,14995.0,,
297505,18998.0,,
297513,17988.0,,
297518,17988.0,,
297526,19195.0,,
297530,22143.0,,
297535,14999.0,,
297551,16900.0,,
297555,17998.0,,
297562,17791.0,,
297569,3900.0,,
297584,28725.0,,
297618,11990.0,,
297627,17000.0,,
297630,15016.0,,
297634,13997.0,,
297650,10500.0,,
297661,19980.0,,
297664,24998.0,,
297672,17994.0,,
297675,22996.0,,
297699,24993.0,,
297706,8999.0,,
297717,20495.0,,
297738,28000.0,,
297743,8418.0,,
297746,9800.0,,
297754,19000.0,,
297760,16995.0,,
297768,17886.0,,
297781,4998.0,,
297783,22788.0,,
297790,28000.0,,
297791,17995.0,,
297808,19499.0,,
297817,12990.0,,
297821,26995.0,,
297843,14599.0,,
297870,13750.0,,
297880,14995.0,,
297882,24661.0,,
297889,27000.0,,
297893,18483.0,,
297903,28500.0,,
297913,27989.0,,
297917,20750.0,,
297922,16795.0,,
297923,16995.0,,
297937,18400.0,,
297942,28000.0,,
297962,16995.0,,
297966,24999.0,,
297971,24979.0,,
297989,17971.0,,
297999,15990.0,,
298000,9476.0,,
298003,26293.0,,
298004,12936.0,,
298009,11989.0,,
298017,19980.0,,
298018,25791.0,,
298037,17975.0,,
298045,26498.0,,
298048,9985.0,,
298060,18950.0,,
298078,29962.0,,
298084,17795.0,,
298090,20200.0,,
298100,19000.0,,
298103,19035.0,,
298105,17993.0,,
298107,17490.0,,
298111,25611.0,,
298124,17995.0,,
298127,16987.0,,
298145,8995.0,,
298152,16995.0,,
298154,13400.0,,
298174,18694.0,,
298182,13950.0,,
298216,17000.0,,
298218,26186.0,,
298261,20000.0,,
298265,27922.0,,
298273,9000.0,,
298280,21000.0,,
298297,14900.0,,
298311,7900.0,,
298322,22410.0,,
298333,18850.0,,
298341,27921.0,,
298349,26999.0,,
298371,28500.0,,
298374,17990.0,,
298378,21000.0,,
298381,15888.0,,
298382,28748.0,,
298386,17500.0,,
298394,12988.0,,
298403,14995.0,,
298416,24645.0,,
298425,11984.0,,
298426,24999.0,,
298427,24595.0,,
298442,18988.0,,
298443,8500.0,,
298444,18194.0,,
298447,22995.0,,
298448,20758.0,,
298452,17546.0,,
298464,18149.0,,
298475,18881.0,,
298485,24999.0,,
298490,15998.0,,
298494,27999.0,,
298506,27400.0,,
298509,7500.0,,
298513,26968.0,,
298519,8975.0,,
298551,23993.0,,
298554,12980.0,,
298565,16863.0,,
298574,18878.0,,
298580,13187.0,,
298586,23244.0,,
298588,9450.0,,
298592,16839.0,,
298594,14900.0,,
298602,24400.0,,
298610,11795.0,,
298616,27989.0,,
298627,15990.0,,
298635,26973.0,,
298637,10750.0,,
298638,9983.0,,
298642,14990.0,,
298648,28967.0,,
298669,26995.0,,
298671,17308.0,,
298679,26000.0,,
298689,24000.0,,
298690,23995.0,,
298692,18999.0,,
298693,26995.0,,
298697,2800.0,,
298708,20771.0,,
298716,19950.0,,
